k,Accuracy,Recall,Precision
1,0.8001737619461338,0.7578947368421053,0.7578947368421053
2,0.7741094700260643,0.5852631578947368,0.8152492668621701
3,0.7827975673327541,0.7010526315789474,0.7551020408163265
4,0.7645525629887054,0.6,0.7786885245901639
5,0.7767158992180713,0.6947368421052632,0.746606334841629
6,0.7697654213727194,0.6273684210526316,0.772020725388601
7,0.7654213727193745,0.7010526315789474,0.7223427331887202
8,0.7636837532580365,0.6378947368421053,0.7518610421836228
9,0.7671589921807124,0.68,0.7357630979498861
10,0.7680278019113814,0.6294736842105263,0.7666666666666667
11,0.7680278019113814,0.671578947368421,0.7418604651162791
12,0.7549956559513467,0.6147368421052631,0.7468030690537084
13,0.7654213727193745,0.6736842105263158,0.735632183908046
14,0.7567332754126846,0.6231578947368421,0.7455919395465995
15,0.7628149435273676,0.6589473684210526,0.7382075471698113
