k,Accuracy,Recall,Precision
1,0.894874022589053,0.8863157894736842,0.8627049180327869
2,0.891398783666377,0.8273684210526315,0.9013761467889908
3,0.889661164205039,0.8905263157894737,0.8493975903614458
4,0.89748045178106,0.8505263157894737,0.8957871396895787
5,0.8922675933970461,0.88,0.8618556701030928
6,0.895742832319722,0.8547368421052631,0.888402625820569
7,0.894005212858384,0.88,0.865424430641822
8,0.8992180712423979,0.8526315789473684,0.8980044345898004
9,0.9018245004344049,0.8842105263157894,0.8786610878661087
10,0.9105125977410947,0.871578947368421,0.9078947368421053
11,0.9113814074717637,0.8905263157894737,0.8942917547568711
12,0.9122502172024327,0.8736842105263158,0.9100877192982456
13,0.9113814074717637,0.888421052631579,0.8959660297239915
14,0.9148566463944396,0.8821052631578947,0.9088937093275488
15,0.9113814074717637,0.8905263157894737,0.8942917547568711
