Depth,Accuracy,Recall,Precision
1,0.7793223284100782,0.8442105263157895,0.6901893287435457
2,0.7914856646394439,0.8863157894736842,0.6935749588138386
3,0.8635968722849696,0.72,0.9344262295081968
4,0.8853171155516942,0.7726315789473684,0.9386189258312021
5,0.8844483058210252,0.7768421052631579,0.9318181818181818
6,0.895742832319722,0.8505263157894737,0.891832229580574
7,0.9113814074717637,0.8315789473684211,0.947242206235012
8,0.9174630755864466,0.8568421052631578,0.9377880184331797
9,0.9174630755864466,0.8778947368421053,0.9185022026431718
10,0.9165942658557776,0.8694736842105263,0.9239373601789709
