Depth,Accuracy,Recall,Precision
1,0.7801911381407471,0.5305263157894737,0.8936170212765957
2,0.8549087749782798,0.6947368421052632,0.9375
3,0.8696785403996524,0.8631578947368421,0.8282828282828283
4,0.8922675933970461,0.783157894736842,0.9465648854961832
5,0.9044309296264118,0.8168421052631579,0.9440389294403893
6,0.9183318853171155,0.8589473684210527,0.9379310344827586
7,0.9200695047784535,0.8568421052631578,0.9443155452436195
8,0.9131190269331017,0.8694736842105263,0.9157427937915743
9,0.9113814074717637,0.8631578947368421,0.9172259507829977
10,0.9157254561251086,0.9157894736842105,0.8841463414634146
